ags,60304728,9774,348,2174,95,42,-111
ags,60304729,9774,350,2201,83,45,-115
ags,60304730,9809,348,2211,82,53,-106
ags,60304731,9804,357,2177,101,56,-99
ags,60304732,9777,355,2118,115,71,-102
ags,60304733,9784,340,2167,109,74,-115
ags,60304734,9787,333,2233,91,68,-114
ags,60304735,9772,362,2233,88,68,-103
ags,60304736,9782,357,2199,98,65,-94
ags,60304737,9782,365,2211,106,65,-85
ags,60304738,9794,360,2213,111,69,-97
ags,60304739,9809,331,2169,112,66,-102
ags,60304740,9801,328,2179,112,57,-96
ags,60304741,9831,365,2196,107,54,-102
ags,60304742,9843,392,2245,100,54,-103
ags,60304743,9823,374,2272,103,50,-106
ags,60304744,9813,370,2225,107,45,-100
ags,60304745,9828,382,2233,114,56,-94
ags,60304746,9828,370,2130,123,60,-91
ags,60304747,9791,365,2086,121,59,-89
ags,60304748,9782,367,2208,109,60,-88
ags,60304749,9804,355,2206,101,57,-91
ags,60304750,9804,365,2191,94,59,-97
ags,60304751,9791,374,2189,77,63,-96
ags,60304752,9787,367,2179,75,59,-83
ags,60304753,9782,372,2228,91,54,-71
ags,60304754,9784,394,2245,101,47,-74
ags,60304755,9831,384,2243,101,45,-71
ags,60304756,9831,379,2238,94,44,-70
ags,60304757,9799,409,2208,92,42,-73
ags,60304758,9818,416,2206,103,50,-70
ags,60304759,9826,396,2172,98,54,-70
ags,60304760,9831,382,2152,95,51,-80
ags,60304761,9857,370,2208,83,50,-89
ags,60304762,9870,370,2199,72,56,-88
ags,60304763,9840,382,2152,66,68,-88
ags,60304764,9833,374,2172,68,63,-89
ags,60304765,9862,374,2230,75,48,-86
ags,60304766,9867,401,2201,88,47,-80
ags,60304767,9850,370,2160,95,44,-88
ags,60304768,9845,367,2162,86,44,-94
ags,60304769,9852,387,2189,83,53,-96
ags,60304770,9855,399,2252,82,47,-99
ags,60304771,9879,433,2245,86,40,-97
ags,60304772,9906,396,2174,91,39,-88
ags,60304773,9857,372,2155,74,36,-70
ags,60304774,9840,394,2155,59,37,-65
ags,60304775,9855,387,2157,63,40,-76
ags,60304776,9855,387,2157,63,40,-76
ags,60304777,9852,362,2204,60,36,-86
ags,60304778,9857,392,2213,65,22,-86
ags,60304779,9882,394,2208,78,30,-89
ags,60304780,9872,377,2189,86,45,-89
ags,60304781,9867,367,2123,88,44,-85
ags,60304782,9860,355,2167,88,30,-83
ags,60304783,9901,340,2230,86,10,-77
ags,60304784,9911,328,2182,97,13,-79
ags,60304785,9906,340,2157,94,27,-86
ags,60304786,9916,365,2128,77,28,-89
ags,60304787,9931,372,2106,78,30,-96
ags,60304788,9948,338,2145,91,28,-99
ags,60304789,9955,331,2184,86,31,-102
ags,60304790,9960,352,2194,82,36,-102
ags,60304791,9948,350,2179,89,34,-100
ags,60304792,9921,365,2157,86,51,-89
ags,60304793,9916,343,2179,78,74,-79
ags,60304794,9943,331,2138,75,80,-77
ags,60304795,9975,338,2125,82,76,-71
ags,60304796,9957,348,2167,85,68,-76
ags,60304797,9933,377,2150,85,63,-80
ags,60304798,9975,352,2147,88,62,-80
ags,60304799,9994,311,2201,80,59,-89
ags,60304800,9960,372,2230,68,63,-89
ags,60304801,9923,443,2194,47,76,-77
ags,60304802,9894,409,2128,46,86,-76
ags,60304803,9901,372,2094,56,94,-76
ags,60304804,9955,352,2160,59,91,-71
ags,60304805,9960,335,2194,53,83,-71
ags,60304806,9933,370,2133,57,77,-86
ags,60304807,9923,382,2172,63,66,-93
ags,60304808,9918,348,2211,53,65,-83
ags,60304809,9938,343,2196,38,56,-70
ags,60304810,9928,345,2164,41,48,-65
ags,60304811,9918,348,2138,53,53,-77
ags,60304812,9921,328,2164,60,57,-77
ags,60304813,9892,299,2179,50,71,-62
ags,60304814,9901,311,2160,52,73,-50
ags,60304815,9904,318,2177,59,56,-54
ags,60304816,9904,328,2208,53,44,-70
ags,60304817,9918,333,2225,56,37,-68
ags,60304818,9906,345,2230,54,37,-60
ags,60304819,9918,348,2174,56,45,-67
ags,60304820,9918,348,2174,56,45,-67
ags,60304821,9916,343,2135,69,50,-60
ags,60304822,9879,301,2177,78,39,-62
ags,60304823,9872,294,2182,86,27,-60
ags,60304824,9901,321,2204,74,34,-59
ags,60304825,9933,333,2206,59,42,-59
ags,60304826,9926,338,2194,69,44,-60
ags,60304827,9865,345,2218,86,47,-65
ags,60304828,9848,338,2194,77,50,-73
ags,60304829,9892,331,2199,53,48,-85
ags,60304830,9870,326,2213,23,39,-100
ags,60304831,9865,331,2179,20,42,-96
ags,60304832,9870,333,2162,41,48,-91
ags,60304833,9840,335,2135,53,60,-105
ags,60304834,9850,321,2123,53,66,-114
ags,60304835,9840,284,2182,60,66,-111
ags,60304836,9855,282,2211,77,66,-96
ags,60304837,9843,289,2164,85,65,-77
ags,60304838,9821,267,2145,80,74,-73
ags,60304839,9833,287,2172,71,82,-77
ags,60304840,9850,326,2184,66,79,-86
ags,60304841,9852,306,2169,66,71,-96
ags,60304842,9821,309,2201,72,66,-96
ags,60304843,9823,343,2221,75,62,-89
ags,60304844,9833,348,2213,69,57,-99
ags,60304845,9831,326,2179,74,59,-120
ags,60304846,9840,321,2182,77,62,-134
ags,60304847,9835,323,2233,68,63,-126
ags,60304848,9826,316,2250,62,74,-114
ags,60304849,9833,321,2213,68,80,-109
ags,60304850,9835,333,2204,77,74,-118
ags,60304851,9848,352,2221,80,71,-115
ags,60304852,9906,348,2230,85,94,-105
ags,60304853,9916,313,2243,91,103,-89
ags,60304854,9879,316,2213,95,103,-80
ags,60304855,9865,350,2206,94,98,-94
ags,60304856,9848,340,2189,91,94,-105
ags,60304857,9855,309,2196,91,98,-109
ags,60304858,9870,311,2235,89,97,-108
ags,60304859,9845,331,2182,88,97,-109
ags,60304860,9831,304,2142,94,97,-109
ags,60304861,9823,284,2169,101,94,-108
ags,60304862,9826,282,2147,114,92,-106
ags,60304863,9840,265,2152,124,86,-102
ags,60304864,9823,313,2191,123,77,-96
ags,60304865,9840,357,2199,123,86,-96
ags,60304866,9860,343,2235,123,103,-96
ags,60304867,9840,340,2296,111,109,-102
ags,60304868,9838,350,2274,95,105,-111
ags,60304869,9831,345,2216,94,111,-106
ags,60304870,9833,345,2189,114,118,-86
ags,60304871,9857,338,2201,136,120,-94
ags,60304872,9852,318,2243,138,120,-109
ags,60304873,9855,340,2201,129,127,-103
ags,60304874,9855,340,2201,129,127,-103
ags,60304875,9833,318,2233,130,135,-102
ags,60304876,9862,350,2250,150,140,-102
ags,60304877,9887,387,2252,146,134,-91
ags,60304878,9889,406,2225,141,120,-85
ags,60304879,9870,384,2250,156,115,-86
ags,60304880,9821,335,2265,167,126,-94
ags,60304881,9828,318,2243,165,135,-96
ags,60304882,9838,311,2235,153,141,-94
ags,60304883,9787,374,2201,143,161,-94
ags,60304884,9782,433,2194,136,178,-93
ags,60304885,9840,387,2216,136,181,-94
ags,60304886,9867,328,2211,150,166,-97
ags,60304887,9848,313,2196,153,155,-102
ags,60304888,9838,340,2184,161,161,-100
ags,60304889,9887,316,2243,191,175,-105
ags,60304890,9857,338,2294,228,170,-112
ags,60304891,9874,396,2260,211,158,-120
ags,60304892,9872,382,2282,193,161,-122
ags,60304893,9833,382,2309,198,167,-126
ags,60304894,9843,370,2233,210,181,-123
ags,60304895,9799,345,2213,217,187,-122
ags,60304896,9818,321,2296,219,186,-128
ags,60304897,9806,326,2272,223,173,-134
ags,60304898,9833,345,2221,230,178,-134
ags,60304899,9848,340,2228,230,199,-128
ags,60304900,9811,316,2250,228,207,-128
ags,60304901,9809,296,2238,227,202,-138
ags,60304902,9777,289,2240,222,198,-143
ags,60304903,9777,291,2309,228,193,-140
ags,60304904,9813,323,2282,239,198,-134
ags,60304905,9826,326,2255,259,204,-140
ags,60304906,9801,313,2274,265,222,-137
ags,60304907,9782,333,2250,262,236,-123
ags,60304908,9831,357,2291,269,242,-120
ags,60304909,9882,387,2301,274,247,-120
ags,60304910,9872,382,2245,271,251,-111
ags,60304911,9870,352,2223,277,257,-106
ags,60304912,9877,352,2238,291,274,-115
